,DENV3/WALLIS_AND_FUTUNA/0501650/1995,DENV3/FRENCH_POLYNESIA/15046183/1996,DENV3/FRENCH_POLYNESIA/04024881/1996,DENV3/FRENCH_POLYNESIA/19020064/1995,DENV3/FRENCH_POLYNESIA/136116/1994,DENV3/FRENCH_POLYNESIA/200110185/1993,DENV3/NEW_CALEDONIA/1703750/1995,DENV3/FRENCH_POLYNESIA/09022130/1991,DENV3/NEW_CALEDONIA/240418/1995,DENV3/COOK_ISLANDS/BIDV2972/1991,DENV3/NEW_CALEDONIA/4197/1995,DENV3/FRENCH_POLYNESIA/320219/1989,DENV3/NEW_CALEDONIA/4690/1996,DENV3/NEW_CALEDONIA/4631/1996,DENV3/WALLIS_AND_FUTUNA/0902448/1995,DENV3/FRENCH_POLYNESIA/6056/1990,DENV3/WALLIS_AND_FUTUNA/1404838/1989,DENV3/NEW_CALEDONIA/060283/1989,DENV3/INDONESIA/SLEMANDELTA30/1978,DENV3/FIJI/29472/1992,DENV3/AMERICAN_SAMOA/BIDV2973/1995,DENV3/TAIWAN/739079A/2004,DENV3/TAIWAN/466/1995,DENV3/INDONESIA/MUTANTINJI6/1982,DENV3/PUERTO_RICO/S228762/1963,DENV3/INDONESIA/MKSWS78/2010,DENV3/MALAYSIA/28526/2003,DENV3/MALAYSIA/12440/1997,DENV3/INDONESIA/902890/1998,DENV3/MALAYSIA/21531/1999,DENV3/PHILIPPINES/VIROAF7/1964,DENV3/MALAYSIA/22460/2000,DENV3/INDONESIA/MKS0057/2007,DENV3/INDIA/481/1966,DENV3/PHILIPPINES/H87/1956,DENV3/CHINA/2/1980,DENV3/INDONESIA/MKSIF058/2008,DENV3/AUSTRALIA/CAIRNS/2008,DENV3/INDONESIA/MKS0172/2007,DENV3/INDIA/BIDV2417/1984,DENV3/THAILAND/CH53489/1973,DENV3/THAILAND/0010/1987,DENV3/INDONESIA/MKS0388/2008,DENV3/INDONESIA/MKS3000/2008,DENV3/SRI_LANKA/BIDV2412/1989,DENV3/SRI_LANKA/BIDV2413/1993,DENV3/SRI_LANKA/BIDV2405/1983,DENV3/SRI_LANKA/BIDV2414/1985,DENV3/THAILAND/44/1983,DENV3/CHINA/HN50/2013,DENV3/SRI_LANKA/BIDV2408/1994,DENV3/SRI_LANKA/BIDV2409/1997,DENV3/MOZAMBIQUE/BIDV2418/1985,DENV3/BANGLADESH/MUTANT07/2002,DENV3/MALAYSIA/33077/2004,DENV3/SINGAPORE/0235/2007,DENV3/SAUDI_ARABIA/JEDDAH/2014,DENV3/SINGAPORE/K4159DK1/2005,DENV3/MALAYSIA/2471/1995,DENV3/MALAYSIA/4269/1996,DENV3/INDIA/GWL25/2008,DENV3/NICARAGUA/BIDV2420/1994,DENV3/SRI_LANKA/REFERENCE/2000,DENV3/TAIWAN/628/1999,DENV3/THAILAND/0104/1993,DENV3/THAILAND/C0331/1994,DENV3/INDIA/ND143/2007,DENV3/MEXICO/BIDV2989/2007,DENV3/CAMBODIA/BIDV2074/2001,DENV3/MALAYSIA/25850/2002,DENV3/AUSTRALIA/CAIRNS/1998,DENV3/PUERTO_RICO/BIDV859/1998,DENV3/VIETNAM/BIDV1817/2007,DENV3/VIETNAM/BIDV1329/2006,DENV3/CAMBODIA/BIDV4315/2008,DENV3/TAIWAN/503/1998,DENV3/CHINA/GZ2D3/2009,DENV3/CHINA/ZJYW/2009,DENV3/PAKISTAN/52440/2006,DENV3/SINGAPORE/CT14/2012,DENV3/INDIA/RAJTHANDIABALOTRA87S/2013,DENV3/PUERTO_RICO/BIDV2106/2000,DENV3/MARTINIQUE/IMTSSAMART1243/1999,DENV3/CHINA/07CHLS001/2008,DENV3/CHINA/DTIDZJU04/2009,DENV3/THAILAND/KDH0010A/2010,DENV3/CHINA/GZ10476/2012,DENV3/PAKISTAN/56/2008,DENV3/PAKISTAN/45251/2009,DENV3/SINGAPORE/CT37/2013,DENV3/CHINA/GDZSDV30A/2013,DENV3/CAMBODIA/AC23/2011,DENV3/INDIA/D59826/2005,DENV3/ECUADOR/BIDV2975/2000,DENV3/BRAZIL/9704/2007,DENV3/CUBA/BA167/2001,DENV3/PUERTO_RICO/BIDV1481/2003,DENV3/NICARAGUA/BIDV7634/2011,DENV3/NICARAGUA/BIDV4753/2009,DENV3/PERU/BIDV7073/2008,DENV3/CUBA/BA17/2002,DENV3/VENEZUELA/BIDV2967/2001,DENV3/PUERTO_RICO/BIDV1615/2004,DENV3/INDONESIA/BIDV5101/2009,DENV3/NICARAGUA/BIDV3163/2008,DENV3/BRAZIL/101905PE/2003,DENV3/BRAZIL/145PE/2004,DENV3/BRAZIL/AL95/2009,DENV3/PUERTO_RICO/429965/2006,DENV3/PUERTO_RICO/BIDV1625/2005,DENV3/SPAIN/BIDV5449/2009,DENV3/SPAIN/BIDV5468/2010,DENV3/NICARAGUA/BIDV5508/2010,DENV3/NICARAGUA/BIDV7646/2012,DENV3/BRAZIL/81257PE/2002,DENV3/SPAIN/BIDV2988/2007,DENV3/SPAIN/BIDV3393/2002,DENV3/SPAIN/BIDV2978/2001,DENV3/BRAZIL/277PE/2005,DENV3/BRAZIL/603PE/2006,DENV3/SPAIN/BIDV2984/2003,DENV3/SPAIN/BIDV3400/2004
DENV3/NICARAGUA/BIDV4753/2009,31.000,32.000,32.000,30.000,29.000,27.000,29.000,26.000,30.000,25.000,31.000,24.000,32.000,33.000,33.000,24.000,23.000,23.000,21.000,25.000,25.000,19.000,21.000,18.000,17.000,23.000,24.000,24.000,24.000,24.000,17.000,25.000,25.000,14.000,18.000,18.000,26.000,26.000,26.000,17.000,17.000,17.000,27.000,27.000,14.000,13.000,15.000,15.000,19.000,19.000,12.000,12.000,10.000,20.000,20.000,15.000,15.000,15.000,21.000,21.000,10.000,8.000,16.000,16.000,22.000,22.000,11.000,7.000,23.000,23.000,24.000,7.000,25.000,25.000,25.000,25.000,14.000,14.000,14.000,14.000,14.000,8.000,6.000,26.000,26.000,26.000,26.000,15.000,15.000,15.000,15.000,15.000,15.000,5.000,7.000,10.000,10.000,4.000,,6.000,6.000,11.000,11.000,5.000,5.000,9.000,9.000,9.000,12.000,12.000,4.000,4.000,4.000,4.000,10.000,13.000,13.000,13.000,11.000,11.000,14.000,14.000
DENV3/PERU/BIDV7073/2008,31.000,32.000,32.000,30.000,29.000,27.000,29.000,26.000,30.000,25.000,31.000,24.000,32.000,33.000,33.000,24.000,23.000,23.000,21.000,25.000,25.000,19.000,21.000,18.000,17.000,23.000,24.000,24.000,24.000,24.000,17.000,25.000,25.000,14.000,18.000,18.000,26.000,26.000,26.000,17.000,17.000,17.000,27.000,27.000,14.000,13.000,15.000,15.000,19.000,19.000,12.000,12.000,10.000,20.000,20.000,15.000,15.000,15.000,21.000,21.000,10.000,8.000,16.000,16.000,22.000,22.000,11.000,7.000,23.000,23.000,24.000,7.000,25.000,25.000,25.000,25.000,14.000,14.000,14.000,14.000,14.000,8.000,6.000,26.000,26.000,26.000,26.000,15.000,15.000,15.000,15.000,15.000,15.000,3.000,7.000,10.000,10.000,6.000,6.000,,2.000,11.000,11.000,7.000,7.000,9.000,9.000,9.000,12.000,12.000,8.000,8.000,8.000,8.000,10.000,13.000,13.000,13.000,11.000,11.000,14.000,14.000
DENV3/CUBA/BA17/2002,31.000,32.000,32.000,30.000,29.000,27.000,29.000,26.000,30.000,25.000,31.000,24.000,32.000,33.000,33.000,24.000,23.000,23.000,21.000,25.000,25.000,19.000,21.000,18.000,17.000,23.000,24.000,24.000,24.000,24.000,17.000,25.000,25.000,14.000,18.000,18.000,26.000,26.000,26.000,17.000,17.000,17.000,27.000,27.000,14.000,13.000,15.000,15.000,19.000,19.000,12.000,12.000,10.000,20.000,20.000,15.000,15.000,15.000,21.000,21.000,10.000,8.000,16.000,16.000,22.000,22.000,11.000,7.000,23.000,23.000,24.000,7.000,25.000,25.000,25.000,25.000,14.000,14.000,14.000,14.000,14.000,8.000,6.000,26.000,26.000,26.000,26.000,15.000,15.000,15.000,15.000,15.000,15.000,3.000,7.000,10.000,10.000,6.000,6.000,2.000,,11.000,11.000,7.000,7.000,9.000,9.000,9.000,12.000,12.000,8.000,8.000,8.000,8.000,10.000,13.000,13.000,13.000,11.000,11.000,14.000,14.000
DENV3/VENEZUELA/BIDV2967/2001,32.000,33.000,33.000,31.000,30.000,28.000,30.000,27.000,31.000,26.000,32.000,25.000,33.000,34.000,34.000,25.000,24.000,24.000,22.000,26.000,26.000,20.000,22.000,19.000,18.000,24.000,25.000,25.000,25.000,25.000,18.000,26.000,26.000,15.000,19.000,19.000,27.000,27.000,27.000,18.000,18.000,18.000,28.000,28.000,15.000,14.000,16.000,16.000,20.000,20.000,13.000,13.000,11.000,21.000,21.000,16.000,16.000,16.000,22.000,22.000,11.000,9.000,17.000,17.000,23.000,23.000,12.000,8.000,24.000,24.000,25.000,6.000,26.000,26.000,26.000,26.000,15.000,15.000,15.000,15.000,15.000,5.000,9.000,27.000,27.000,27.000,27.000,16.000,16.000,16.000,16.000,16.000,16.000,10.000,10.000,3.000,5.000,11.000,11.000,11.000,11.000,,6.000,12.000,12.000,12.000,12.000,12.000,7.000,7.000,13.000,13.000,13.000,13.000,13.000,4.000,4.000,4.000,14.000,14.000,5.000,5.000
DENV3/PUERTO_RICO/BIDV1615/2004,32.000,33.000,33.000,31.000,30.000,28.000,30.000,27.000,31.000,26.000,32.000,25.000,33.000,34.000,34.000,25.000,24.000,24.000,22.000,26.000,26.000,20.000,22.000,19.000,18.000,24.000,25.000,25.000,25.000,25.000,18.000,26.000,26.000,15.000,19.000,19.000,27.000,27.000,27.000,18.000,18.000,18.000,28.000,28.000,15.000,14.000,16.000,16.000,20.000,20.000,13.000,13.000,11.000,21.000,21.000,16.000,16.000,16.000,22.000,22.000,11.000,9.000,17.000,17.000,23.000,23.000,12.000,8.000,24.000,24.000,25.000,6.000,26.000,26.000,26.000,26.000,15.000,15.000,15.000,15.000,15.000,5.000,9.000,27.000,27.000,27.000,27.000,16.000,16.000,16.000,16.000,16.000,16.000,10.000,10.000,5.000,3.000,11.000,11.000,11.000,11.000,6.000,,12.000,12.000,12.000,12.000,12.000,3.000,3.000,13.000,13.000,13.000,13.000,13.000,8.000,8.000,8.000,14.000,14.000,9.000,9.000
DENV3/INDONESIA/BIDV5101/2009,32.000,33.000,33.000,31.000,30.000,28.000,30.000,27.000,31.000,26.000,32.000,25.000,33.000,34.000,34.000,25.000,24.000,24.000,22.000,26.000,26.000,20.000,22.000,19.000,18.000,24.000,25.000,25.000,25.000,25.000,18.000,26.000,26.000,15.000,19.000,19.000,27.000,27.000,27.000,18.000,18.000,18.000,28.000,28.000,15.000,14.000,16.000,16.000,20.000,20.000,13.000,13.000,11.000,21.000,21.000,16.000,16.000,16.000,22.000,22.000,11.000,9.000,17.000,17.000,23.000,23.000,12.000,8.000,24.000,24.000,25.000,8.000,26.000,26.000,26.000,26.000,15.000,15.000,15.000,15.000,15.000,9.000,7.000,27.000,27.000,27.000,27.000,16.000,16.000,16.000,16.000,16.000,16.000,6.000,8.000,11.000,11.000,3.000,5.000,7.000,7.000,12.000,12.000,,2.000,10.000,10.000,10.000,13.000,13.000,7.000,7.000,7.000,7.000,11.000,14.000,14.000,14.000,12.000,12.000,15.000,15.000
DENV3/NICARAGUA/BIDV3163/2008,32.000,33.000,33.000,31.000,30.000,28.000,30.000,27.000,31.000,26.000,32.000,25.000,33.000,34.000,34.000,25.000,24.000,24.000,22.000,26.000,26.000,20.000,22.000,19.000,18.000,24.000,25.000,25.000,25.000,25.000,18.000,26.000,26.000,15.000,19.000,19.000,27.000,27.000,27.000,18.000,18.000,18.000,28.000,28.000,15.000,14.000,16.000,16.000,20.000,20.000,13.000,13.000,11.000,21.000,21.000,16.000,16.000,16.000,22.000,22.000,11.000,9.000,17.000,17.000,23.000,23.000,12.000,8.000,24.000,24.000,25.000,8.000,26.000,26.000,26.000,26.000,15.000,15.000,15.000,15.000,15.000,9.000,7.000,27.000,27.000,27.000,27.000,16.000,16.000,16.000,16.000,16.000,16.000,6.000,8.000,11.000,11.000,3.000,5.000,7.000,7.000,12.000,12.000,2.000,,10.000,10.000,10.000,13.000,13.000,7.000,7.000,7.000,7.000,11.000,14.000,14.000,14.000,12.000,12.000,15.000,15.000
DENV3/BRAZIL/101905PE/2003,32.000,33.000,33.000,31.000,30.000,28.000,30.000,27.000,31.000,26.000,32.000,25.000,33.000,34.000,34.000,25.000,24.000,24.000,22.000,26.000,26.000,20.000,22.000,19.000,18.000,24.000,25.000,25.000,25.000,25.000,18.000,26.000,26.000,15.000,19.000,19.000,27.000,27.000,27.000,18.000,18.000,18.000,28.000,28.000,15.000,14.000,16.000,16.000,20.000,20.000,13.000,13.000,11.000,21.000,21.000,16.000,16.000,16.000,22.000,22.000,11.000,9.000,17.000,17.000,23.000,23.000,12.000,8.000,24.000,24.000,25.000,8.000,26.000,26.000,26.000,26.000,15.000,15.000,15.000,15.000,15.000,9.000,5.000,27.000,27.000,27.000,27.000,16.000,16.000,16.000,16.000,16.000,16.000,8.000,4.000,11.000,11.000,9.000,9.000,9.000,9.000,12.000,12.000,10.000,10.000,,4.000,4.000,13.000,13.000,11.000,11.000,11.000,11.000,3.000,14.000,14.000,14.000,4.000,4.000,15.000,15.000
DENV3/BRAZIL/145PE/2004,32.000,33.000,33.000,31.000,30.000,28.000,30.000,27.000,31.000,26.000,32.000,25.000,33.000,34.000,34.000,25.000,24.000,24.000,22.000,26.000,26.000,20.000,22.000,19.000,18.000,24.000,25.000,25.000,25.000,25.000,18.000,26.000,26.000,15.000,19.000,19.000,27.000,27.000,27.000,18.000,18.000,18.000,28.000,28.000,15.000,14.000,16.000,16.000,20.000,20.000,13.000,13.000,11.000,21.000,21.000,16.000,16.000,16.000,22.000,22.000,11.000,9.000,17.000,17.000,23.000,23.000,12.000,8.000,24.000,24.000,25.000,8.000,26.000,26.000,26.000,26.000,15.000,15.000,15.000,15.000,15.000,9.000,5.000,27.000,27.000,27.000,27.000,16.000,16.000,16.000,16.000,16.000,16.000,8.000,4.000,11.000,11.000,9.000,9.000,9.000,9.000,12.000,12.000,10.000,10.000,4.000,,2.000,13.000,13.000,11.000,11.000,11.000,11.000,5.000,14.000,14.000,14.000,6.000,6.000,15.000,15.000
DENV3/BRAZIL/AL95/2009,32.000,33.000,33.000,31.000,30.000,28.000,30.000,27.000,31.000,26.000,32.000,25.000,33.000,34.000,34.000,25.000,24.000,24.000,22.000,26.000,26.000,20.000,22.000,19.000,18.000,24.000,25.000,25.000,25.000,25.000,18.000,26.000,26.000,15.000,19.000,19.000,27.000,27.000,27.000,18.000,18.000,18.000,28.000,28.000,15.000,14.000,16.000,16.000,20.000,20.000,13.000,13.000,11.000,21.000,21.000,16.000,16.000,16.000,22.000,22.000,11.000,9.000,17.000,17.000,23.000,23.000,12.000,8.000,24.000,24.000,25.000,8.000,26.000,26.000,26.000,26.000,15.000,15.000,15.000,15.000,15.000,9.000,5.000,27.000,27.000,27.000,27.000,16.000,16.000,16.000,16.000,16.000,16.000,8.000,4.000,11.000,11.000,9.000,9.000,9.000,9.000,12.000,12.000,10.000,10.000,4.000,2.000,,13.000,13.000,11.000,11.000,11.000,11.000,5.000,14.000,14.000,14.000,6.000,6.000,15.000,15.000
DENV3/PUERTO_RICO/429965/2006,33.000,34.000,34.000,32.000,31.000,29.000,31.000,28.000,32.000,27.000,33.000,26.000,34.000,35.000,35.000,26.000,25.000,25.000,23.000,27.000,27.000,21.000,23.000,20.000,19.000,25.000,26.000,26.000,26.000,26.000,19.000,27.000,27.000,16.000,20.000,20.000,28.000,28.000,28.000,19.000,19.000,19.000,29.000,29.000,16.000,15.000,17.000,17.000,21.000,21.000,14.000,14.000,12.000,22.000,22.000,17.000,17.000,17.000,23.000,23.000,12.000,10.000,18.000,18.000,24.000,24.000,13.000,9.000,25.000,25.000,26.000,7.000,27.000,27.000,27.000,27.000,16.000,16.000,16.000,16.000,16.000,6.000,10.000,28.000,28.000,28.000,28.000,17.000,17.000,17.000,17.000,17.000,17.000,11.000,11.000,6.000,4.000,12.000,12.000,12.000,12.000,7.000,3.000,13.000,13.000,13.000,13.000,13.000,,2.000,14.000,14.000,14.000,14.000,14.000,9.000,9.000,9.000,15.000,15.000,10.000,10.000
DENV3/PUERTO_RICO/BIDV1625/2005,33.000,34.000,34.000,32.000,31.000,29.000,31.000,28.000,32.000,27.000,33.000,26.000,34.000,35.000,35.000,26.000,25.000,25.000,23.000,27.000,27.000,21.000,23.000,20.000,19.000,25.000,26.000,26.000,26.000,26.000,19.000,27.000,27.000,16.000,20.000,20.000,28.000,28.000,28.000,19.000,19.000,19.000,29.000,29.000,16.000,15.000,17.000,17.000,21.000,21.000,14.000,14.000,12.000,22.000,22.000,17.000,17.000,17.000,23.000,23.000,12.000,10.000,18.000,18.000,24.000,24.000,13.000,9.000,25.000,25.000,26.000,7.000,27.000,27.000,27.000,27.000,16.000,16.000,16.000,16.000,16.000,6.000,10.000,28.000,28.000,28.000,28.000,17.000,17.000,17.000,17.000,17.000,17.000,11.000,11.000,6.000,4.000,12.000,12.000,12.000,12.000,7.000,3.000,13.000,13.000,13.000,13.000,13.000,2.000,,14.000,14.000,14.000,14.000,14.000,9.000,9.000,9.000,15.000,15.000,10.000,10.000
DENV3/SPAIN/BIDV5449/2009,33.000,34.000,34.000,32.000,31.000,29.000,31.000,28.000,32.000,27.000,33.000,26.000,34.000,35.000,35.000,26.000,25.000,25.000,23.000,27.000,27.000,21.000,23.000,20.000,19.000,25.000,26.000,26.000,26.000,26.000,19.000,27.000,27.000,16.000,20.000,20.000,28.000,28.000,28.000,19.000,19.000,19.000,29.000,29.000,16.000,15.000,17.000,17.000,21.000,21.000,14.000,14.000,12.000,22.000,22.000,17.000,17.000,17.000,23.000,23.000,12.000,10.000,18.000,18.000,24.000,24.000,13.000,9.000,25.000,25.000,26.000,9.000,27.000,27.000,27.000,27.000,16.000,16.000,16.000,16.000,16.000,10.000,8.000,28.000,28.000,28.000,28.000,17.000,17.000,17.000,17.000,17.000,17.000,7.000,9.000,12.000,12.000,6.000,4.000,8.000,8.000,13.000,13.000,7.000,7.000,11.000,11.000,11.000,14.000,14.000,,2.000,4.000,4.000,12.000,15.000,15.000,15.000,13.000,13.000,16.000,16.000
DENV3/SPAIN/BIDV5468/2010,33.000,34.000,34.000,32.000,31.000,29.000,31.000,28.000,32.000,27.000,33.000,26.000,34.000,35.000,35.000,26.000,25.000,25.000,23.000,27.000,27.000,21.000,23.000,20.000,19.000,25.000,26.000,26.000,26.000,26.000,19.000,27.000,27.000,16.000,20.000,20.000,28.000,28.000,28.000,19.000,19.000,19.000,29.000,29.000,16.000,15.000,17.000,17.000,21.000,21.000,14.000,14.000,12.000,22.000,22.000,17.000,17.000,17.000,23.000,23.000,12.000,10.000,18.000,18.000,24.000,24.000,13.000,9.000,25.000,25.000,26.000,9.000,27.000,27.000,27.000,27.000,16.000,16.000,16.000,16.000,16.000,10.000,8.000,28.000,28.000,28.000,28.000,17.000,17.000,17.000,17.000,17.000,17.000,7.000,9.000,12.000,12.000,6.000,4.000,8.000,8.000,13.000,13.000,7.000,7.000,11.000,11.000,11.000,14.000,14.000,2.000,,4.000,4.000,12.000,15.000,15.000,15.000,13.000,13.000,16.000,16.000
DENV3/NICARAGUA/BIDV5508/2010,33.000,34.000,34.000,32.000,31.000,29.000,31.000,28.000,32.000,27.000,33.000,26.000,34.000,35.000,35.000,26.000,25.000,25.000,23.000,27.000,27.000,21.000,23.000,20.000,19.000,25.000,26.000,26.000,26.000,26.000,19.000,27.000,27.000,16.000,20.000,20.000,28.000,28.000,28.000,19.000,19.000,19.000,29.000,29.000,16.000,15.000,17.000,17.000,21.000,21.000,14.000,14.000,12.000,22.000,22.000,17.000,17.000,17.000,23.000,23.000,12.000,10.000,18.000,18.000,24.000,24.000,13.000,9.000,25.000,25.000,26.000,9.000,27.000,27.000,27.000,27.000,16.000,16.000,16.000,16.000,16.000,10.000,8.000,28.000,28.000,28.000,28.000,17.000,17.000,17.000,17.000,17.000,17.000,7.000,9.000,12.000,12.000,6.000,4.000,8.000,8.000,13.000,13.000,7.000,7.000,11.000,11.000,11.000,14.000,14.000,4.000,4.000,,2.000,12.000,15.000,15.000,15.000,13.000,13.000,16.000,16.000
DENV3/NICARAGUA/BIDV7646/2012,33.000,34.000,34.000,32.000,31.000,29.000,31.000,28.000,32.000,27.000,33.000,26.000,34.000,35.000,35.000,26.000,25.000,25.000,23.000,27.000,27.000,21.000,23.000,20.000,19.000,25.000,26.000,26.000,26.000,26.000,19.000,27.000,27.000,16.000,20.000,20.000,28.000,28.000,28.000,19.000,19.000,19.000,29.000,29.000,16.000,15.000,17.000,17.000,21.000,21.000,14.000,14.000,12.000,22.000,22.000,17.000,17.000,17.000,23.000,23.000,12.000,10.000,18.000,18.000,24.000,24.000,13.000,9.000,25.000,25.000,26.000,9.000,27.000,27.000,27.000,27.000,16.000,16.000,16.000,16.000,16.000,10.000,8.000,28.000,28.000,28.000,28.000,17.000,17.000,17.000,17.000,17.000,17.000,7.000,9.000,12.000,12.000,6.000,4.000,8.000,8.000,13.000,13.000,7.000,7.000,11.000,11.000,11.000,14.000,14.000,4.000,4.000,2.000,,12.000,15.000,15.000,15.000,13.000,13.000,16.000,16.000
DENV3/BRAZIL/81257PE/2002,33.000,34.000,34.000,32.000,31.000,29.000,31.000,28.000,32.000,27.000,33.000,26.000,34.000,35.000,35.000,26.000,25.000,25.000,23.000,27.000,27.000,21.000,23.000,20.000,19.000,25.000,26.000,26.000,26.000,26.000,19.000,27.000,27.000,16.000,20.000,20.000,28.000,28.000,28.000,19.000,19.000,19.000,29.000,29.000,16.000,15.000,17.000,17.000,21.000,21.000,14.000,14.000,12.000,22.000,22.000,17.000,17.000,17.000,23.000,23.000,12.000,10.000,18.000,18.000,24.000,24.000,13.000,9.000,25.000,25.000,26.000,9.000,27.000,27.000,27.000,27.000,16.000,16.000,16.000,16.000,16.000,10.000,6.000,28.000,28.000,28.000,28.000,17.000,17.000,17.000,17.000,17.000,17.000,9.000,5.000,12.000,12.000,10.000,10.000,10.000,10.000,13.000,13.000,11.000,11.000,3.000,5.000,5.000,14.000,14.000,12.000,12.000,12.000,12.000,,15.000,15.000,15.000,3.000,3.000,16.000,16.000
DENV3/SPAIN/BIDV2988/2007,34.000,35.000,35.000,33.000,32.000,30.000,32.000,29.000,33.000,28.000,34.000,27.000,35.000,36.000,36.000,27.000,26.000,26.000,24.000,28.000,28.000,22.000,24.000,21.000,20.000,26.000,27.000,27.000,27.000,27.000,20.000,28.000,28.000,17.000,21.000,21.000,29.000,29.000,29.000,20.000,20.000,20.000,30.000,30.000,17.000,16.000,18.000,18.000,22.000,22.000,15.000,15.000,13.000,23.000,23.000,18.000,18.000,18.000,24.000,24.000,13.000,11.000,19.000,19.000,25.000,25.000,14.000,10.000,26.000,26.000,27.000,8.000,28.000,28.000,28.000,28.000,17.000,17.000,17.000,17.000,17.000,7.000,11.000,29.000,29.000,29.000,29.000,18.000,18.000,18.000,18.000,18.000,18.000,12.000,12.000,5.000,7.000,13.000,13.000,13.000,13.000,4.000,8.000,14.000,14.000,14.000,14.000,14.000,9.000,9.000,15.000,15.000,15.000,15.000,15.000,,2.000,4.000,16.000,16.000,5.000,5.000
DENV3/SPAIN/BIDV3393/2002,34.000,35.000,35.000,33.000,32.000,30.000,32.000,29.000,33.000,28.000,34.000,27.000,35.000,36.000,36.000,27.000,26.000,26.000,24.000,28.000,28.000,22.000,24.000,21.000,20.000,26.000,27.000,27.000,27.000,27.000,20.000,28.000,28.000,17.000,21.000,21.000,29.000,29.000,29.000,20.000,20.000,20.000,30.000,30.000,17.000,16.000,18.000,18.000,22.000,22.000,15.000,15.000,13.000,23.000,23.000,18.000,18.000,18.000,24.000,24.000,13.000,11.000,19.000,19.000,25.000,25.000,14.000,10.000,26.000,26.000,27.000,8.000,28.000,28.000,28.000,28.000,17.000,17.000,17.000,17.000,17.000,7.000,11.000,29.000,29.000,29.000,29.000,18.000,18.000,18.000,18.000,18.000,18.000,12.000,12.000,5.000,7.000,13.000,13.000,13.000,13.000,4.000,8.000,14.000,14.000,14.000,14.000,14.000,9.000,9.000,15.000,15.000,15.000,15.000,15.000,2.000,,4.000,16.000,16.000,5.000,5.000
DENV3/SPAIN/BIDV2978/2001,34.000,35.000,35.000,33.000,32.000,30.000,32.000,29.000,33.000,28.000,34.000,27.000,35.000,36.000,36.000,27.000,26.000,26.000,24.000,28.000,28.000,22.000,24.000,21.000,20.000,26.000,27.000,27.000,27.000,27.000,20.000,28.000,28.000,17.000,21.000,21.000,29.000,29.000,29.000,20.000,20.000,20.000,30.000,30.000,17.000,16.000,18.000,18.000,22.000,22.000,15.000,15.000,13.000,23.000,23.000,18.000,18.000,18.000,24.000,24.000,13.000,11.000,19.000,19.000,25.000,25.000,14.000,10.000,26.000,26.000,27.000,8.000,28.000,28.000,28.000,28.000,17.000,17.000,17.000,17.000,17.000,7.000,11.000,29.000,29.000,29.000,29.000,18.000,18.000,18.000,18.000,18.000,18.000,12.000,12.000,5.000,7.000,13.000,13.000,13.000,13.000,4.000,8.000,14.000,14.000,14.000,14.000,14.000,9.000,9.000,15.000,15.000,15.000,15.000,15.000,4.000,4.000,,16.000,16.000,3.000,3.000
DENV3/BRAZIL/277PE/2005,34.000,35.000,35.000,33.000,32.000,30.000,32.000,29.000,33.000,28.000,34.000,27.000,35.000,36.000,36.000,27.000,26.000,26.000,24.000,28.000,28.000,22.000,24.000,21.000,20.000,26.000,27.000,27.000,27.000,27.000,20.000,28.000,28.000,17.000,21.000,21.000,29.000,29.000,29.000,20.000,20.000,20.000,30.000,30.000,17.000,16.000,18.000,18.000,22.000,22.000,15.000,15.000,13.000,23.000,23.000,18.000,18.000,18.000,24.000,24.000,13.000,11.000,19.000,19.000,25.000,25.000,14.000,10.000,26.000,26.000,27.000,10.000,28.000,28.000,28.000,28.000,17.000,17.000,17.000,17.000,17.000,11.000,7.000,29.000,29.000,29.000,29.000,18.000,18.000,18.000,18.000,18.000,18.000,10.000,6.000,13.000,13.000,11.000,11.000,11.000,11.000,14.000,14.000,12.000,12.000,4.000,6.000,6.000,15.000,15.000,13.000,13.000,13.000,13.000,3.000,16.000,16.000,16.000,,2.000,17.000,17.000
DENV3/BRAZIL/603PE/2006,34.000,35.000,35.000,33.000,32.000,30.000,32.000,29.000,33.000,28.000,34.000,27.000,35.000,36.000,36.000,27.000,26.000,26.000,24.000,28.000,28.000,22.000,24.000,21.000,20.000,26.000,27.000,27.000,27.000,27.000,20.000,28.000,28.000,17.000,21.000,21.000,29.000,29.000,29.000,20.000,20.000,20.000,30.000,30.000,17.000,16.000,18.000,18.000,22.000,22.000,15.000,15.000,13.000,23.000,23.000,18.000,18.000,18.000,24.000,24.000,13.000,11.000,19.000,19.000,25.000,25.000,14.000,10.000,26.000,26.000,27.000,10.000,28.000,28.000,28.000,28.000,17.000,17.000,17.000,17.000,17.000,11.000,7.000,29.000,29.000,29.000,29.000,18.000,18.000,18.000,18.000,18.000,18.000,10.000,6.000,13.000,13.000,11.000,11.000,11.000,11.000,14.000,14.000,12.000,12.000,4.000,6.000,6.000,15.000,15.000,13.000,13.000,13.000,13.000,3.000,16.000,16.000,16.000,2.000,,17.000,17.000
